Location Code,Location Name,Location State,State Name
RGT,RENGIT,JHR,JOHOR
YPG,YONG PENG,JHR,JOHOR
BPT,BATU PAHAT,JHR,JOHOR
JHB,JOHOR BAHRU,JHR,JOHOR
KLU,KLUANG,JHR,JOHOR
KLX,KULAI,JHR,JOHOR
KTG,KOTA TINGGI,JHR,JOHOR
MUA,MUAR,JHR,JOHOR
PON,PONTIAN,JHR,JOHOR
PSG,PASIR GUDANG,JHR,JOHOR
SGT,SEGAMAT,JHR,JOHOR
END,ENDAU,JHR,JOHOR
MSG,MERSING,JHR,JOHOR
BGM,BUKIT GAMBIR,JHR,JOHOR
TKK,TANGKAK,JHR,JOHOR
NSJ,NUSAJAYA,JHR,JOHOR
JTR,JITRA,KDH,KEDAH
LGK,LANGKAWI,KDH,KEDAH
KLM,KULIM,KDH,KEDAH
AOR,ALOR SETAR,KDH,KEDAH
SPT,SUNGAI PETANI,KDH,KEDAH
KKR,KUALA KRAI,KEL,KELANTAN
MAC,MACHANG,KEL,KELANTAN
MCH,MACHANG,KEL,KELANTAN
PPH,PASIR PUTEH,KEL,KELANTAN
TAM,TANAH MERAH,KEL,KELANTAN
KBR,KOTA BAHRU,KEL,KELANTAN
KUL,KUALA LUMPUR,KUL,KUALA LUMPUR
LBN,LABUAN,LBN,LABUAN
MKZ,MELAKA,MEL,MELAKA
AGH,ALOR GAJAH,MEL,MELAKA
SMM,SEREMBAN,NSB,N.SEMBILAN
TPN,TAMPIN,NSB,N.SEMBILAN
BHU,BAHAU,NSB,N.SEMBILAN
KPL,KUALA PILAH,NSB,N.SEMBILAN
NIL,NILAI,NSB,N.SEMBILAN
SGX,SIMPANG AMPAT,PEN,P.PINANG
BWH,BUTTERWORTH,PEN,P.PINANG
PEN,PENANG,PEN,P.PINANG
GBG,GEBENG INDUSTIALAREA,PHG,PAHANG
KUA,KUNTAN,PHG,PAHANG
PKN,PKAN,PHG,PAHANG
TML,EMERLOH,PHG,PAHANG
BTG,BENTONG,PHG,PAHANG
JKA,JENGKA,PHG,PAHANG
JRT,JERANTUT,PHG,PAHANG
KPS,KUALA LIPIS,PHG,PAHANG
KRK,KARAK,PHG,PAHANG
MRN,MARAN,PHG,PAHANG
MTK,MENTAKAB,PHG,PAHANG
RAB,RAUB,PHG,PAHANG
TRI,TRIANG,PHG,PAHANG
KGR,KANGAR,PRK,PERAK
TGM,TANJUNG MALIM,PRK,PERAK
STW,SETIAWAN,PRK,PERAK
TAP,TAPAH,PRK,PERAK
IPH,IPOH,PRK,PERAK
TPG,TAIPING,PRK,PERAK
TEL,TELUK INTAN,PRK,PERAK
KGS,KUALA KANGSAR,PRK,PERAK
PBR,PARIT BUNTAR,PRK,PERAK
KBL,KOTA BELUD,SBH,SABAH
KDT,KUDAT,SBH,SABAH
KMR,KOTA MARUDU,SBH,SABAH
KNG,KENINGAU,SBH,SABAH
PPR,PAPAR,SBH,SABAH
SIP,SIPITANG,SBH,SABAH
TNM,TENOM,SBH,SABAH
BKI,KOTA KINABALU,SBH,SABAH
LDU,LAHAD DATU,SBH,SABAH
SDK,SANDAKAN,SBH,SABAH
TWU,TAWAU,SBH,SABAH
KNK,KUNAK AGENT,SBH,SABAH
BAN,BANTING,SEL,SELANGOR
KLG,KLANG,SEL,SELANGOR
PKL,PORT KLANG,SEL,SELANGOR
RWG,RAWANG,SEL,SELANGOR
TKR,TANJUNG KARANG,SEL,SELANGOR
KJG,KAJANG,SEL,SELANGOR
KKB,KUALA KUBU BARU,SEL,SELANGOR
PCH,PUCHONG,SEL,SELANGOR
PJS,PJ SEAPARK,SEL,SELANGOR
BAU,BAU,SWK,SARAWAK
BTU,BINTULU,SWK,SARAWAK
KCH,KUCHING OPS OFFICE,SWK,SARAWAK
KCS,KUCHING SALES OFFICE,SWK,SARAWAK
KSH,KOTA SAMARAHAN,SWK,SARAWAK
LUN,LUNDU,SWK,SARAWAK
MYY,MIRI,SWK,SARAWAK
SAM,SRI AMAN,SWK,SARAWAK
SBW,SIBU,SWK,SARAWAK
SJK,SEJINGKAT,SWK,SARAWAK
SRN,SERIAN,SWK,SARAWAK
LBG,LIMBANG,SWK,SARAWAK
LWS,LAWAS,SWK,SARAWAK
MAR,MARUDI,SWK,SARAWAK
BIN,BINTANGOR,SWK,SARAWAK
DAL,DALAT,SWK,SARAWAK
DAR,DARO,SWK,SARAWAK
KNW,KANOWIT,SWK,SARAWAK
KPT,KAPIT,SWK,SARAWAK
MRD,MERADONG,SWK,SARAWAK
MUK,MUKAH,SWK,SARAWAK
SON,SONG,SWK,SARAWAK
SRK,SARIKEI,SWK,SARAWAK
GUA,GUA MUSANG,TGG,TERENGGANU
KTH,KRETEH,TGG,TERENGGANU
PAK,PAKA,TGG,TERENGGANU
KMM,KEMAMAN,TGG,TERENGGANU
TGG,TERENGGANU,TGG,TERENGGANU
DGN,DUNGUN,TGG,TERENGGANU
JTH,JERTEH,TGG,TERENGGANU
KLB,KUALA BERANG,TGG,TERENGGANU
MRG,MARANG,TGG,TERENGGANU
STU,SETIU,TGG,TERENGGANU
